,Date,Location,Category,Item,Net Sales,Price per LB,Weight,Tier
0,2017-11-14,1,1,10,51.91,11.99,4.33,B
1,2017-11-14,1,4,46,14.99,5.99,2.5,
2,2017-11-14,1,3,138,84.71,5.99,14.14,
3,2017-11-14,1,3,33,16.19,7.99,2.03,
4,2017-11-14,1,3,26,59.03,13.99,4.22,
5,2017-11-14,1,4,46,14.99,5.99,2.5,
6,2017-11-14,1,3,138,82.23,5.99,13.73,
7,2017-11-14,1,4,46,14.99,5.99,2.5,
8,2017-11-14,1,0,7,38.83,5.995,6.48,
9,2017-11-14,1,3,138,85.67,5.99,14.3,
10,2017-11-14,1,4,46,14.99,5.99,2.5,
11,2017-11-14,1,6,107,26.27,8.99,2.92,C
12,2017-11-14,1,4,46,14.99,5.99,2.5,
13,2017-11-14,1,4,46,14.99,5.99,2.5,
14,2017-11-14,1,6,92,76.75,10.99,6.98,A
15,2017-11-14,1,6,4,19.03,9.99,1.9,A
16,2017-11-14,1,3,138,71.03,5.99,11.86,
17,2017-11-14,1,4,46,14.99,5.99,2.5,
18,2017-11-14,1,6,92,78.95,10.99,7.18,A
19,2017-11-14,1,4,46,14.99,5.99,2.5,
20,2017-11-14,1,3,28,13.07,5.99,2.18,
21,2017-11-14,1,4,46,14.99,5.99,2.5,
22,2017-11-14,1,6,109,22.63,8.99,2.52,C
23,2017-11-14,1,4,46,14.99,5.99,2.5,
24,2017-11-14,1,6,92,82.87,10.99,7.54,A
25,2017-11-14,1,3,29,23.03,2.0,11.52,
26,2017-11-14,1,3,28,51.03,5.99,8.52,
27,2017-11-14,1,6,92,91.67,10.99,8.34,A
28,2017-11-14,1,0,7,38.83,5.995,6.48,
29,2017-11-14,1,0,7,38.83,5.995,6.48,
30,2017-11-14,1,4,46,14.99,5.99,2.5,
31,2017-11-14,1,6,105,26.99,8.99,3.0,C
32,2017-11-14,1,1,55,18.99,6.99,2.72,D
33,2017-11-14,1,1,55,19.03,6.99,2.72,D
34,2017-11-14,1,1,55,47.03,6.99,6.73,D
35,2017-11-14,1,1,70,168.55,19.99,8.43,A
36,2017-11-14,1,1,117,90.27,11.99,7.53,B
37,2017-11-21,0,6,109,24.47,8.99,2.72,C
38,2017-11-21,0,0,7,38.83,5.995,6.48,
39,2017-11-21,0,6,87,12.25,4.99,2.45,D
40,2017-11-21,0,8,136,12.25,2.0,6.12,
41,2017-11-21,0,4,46,38.95,5.99,6.5,
42,2017-11-21,0,3,35,5.11,3.99,1.28,
43,2017-11-21,0,6,92,77.19,10.99,7.02,A
44,2017-11-21,0,4,46,63.03,5.99,10.52,
45,2017-11-21,0,6,122,32.59,7.99,4.08,B
46,2017-11-21,0,4,46,14.99,5.99,2.5,
47,2017-11-21,0,4,46,14.99,5.99,2.5,
48,2017-11-21,0,6,92,174.79,10.99,15.9,A
49,2017-11-21,0,6,3,32.55,9.99,3.26,A
50,2017-11-21,0,6,3,30.59,9.99,3.06,A
51,2017-11-21,0,6,92,106.19,10.99,9.66,A
52,2017-11-21,0,7,134,15.03,3.0,5.01,
53,2017-11-21,0,4,46,14.99,5.99,2.5,
54,2017-11-21,0,6,107,28.07,8.99,3.12,C
55,2017-11-21,0,6,65,31.35,9.99,3.14,A
56,2017-11-21,0,6,65,31.07,9.99,3.11,A
57,2017-11-21,0,6,65,30.99,9.99,3.1,A
58,2017-11-21,0,6,3,5.39,9.99,0.54,A
59,2017-11-21,0,4,46,38.95,5.99,6.5,
60,2017-11-21,0,4,46,14.99,5.99,2.5,
61,2017-11-21,0,3,27,9.91,2.0,4.96,
62,2017-11-21,0,3,29,-2.97,2.0,-1.48,
